@RELATION Timestamps

@ATTRIBUTE fecha DATE yyyy-MM-dd HH
@ATTRIBUTE cantidad real

@DATA
2020-12-15,25
2021-12-15,8
2021-01-16,77
2022-01-16,17
2021-02-16,143
2022-02-16,24
2021-03-16,122
2022-03-16,12
2020-04-16,19
2021-04-16,174
2022-04-16,5
2020-05-16,60
2021-05-16,113
2020-06-16,96
2021-06-16,44
2022-06-16,1
2020-07-16,103
2021-07-16,27
2022-07-16,4
2020-08-16,91
2021-08-16,15
2020-09-16,43
2021-09-16,9
2020-10-16,27
2021-10-16,10
2020-11-16,9
2021-11-16,2
2020-12-16,10
2021-12-16,15
2021-01-17,62
2022-01-17,13
2021-02-17,120
2022-02-17,28
2020-03-17,1
2021-03-17,107
2022-03-17,9
2020-04-17,11
2021-04-17,138
2022-04-17,2
2020-05-17,83
2021-05-17,99
2022-05-17,1
2020-06-17,88
2021-06-17,45
2020-07-17,118
2021-07-17,18
2022-07-17,1
2020-08-17,123
2021-08-17,18
2020-09-17,39
2021-09-17,5
2020-10-17,17
2021-10-17,9
2020-11-17,19
2021-11-17,10
2020-12-17,22
2021-12-17,9
2021-01-18,72
2022-01-18,22
2021-02-18,137
2022-02-18,26
2021-03-18,128
2022-03-18,7
2020-04-18,26
2021-04-18,153
2022-04-18,1
2020-05-18,80
2021-05-18,113
2022-05-18,2
2020-06-18,93
2021-06-18,45
2022-06-18,1
2020-07-18,102
2021-07-18,15
2022-07-18,3
2020-08-18,112
2021-08-18,12
2020-09-18,44
2021-09-18,3
2020-10-18,19
2021-10-18,8
2020-11-18,22
2021-11-18,10
2020-12-18,23
2021-12-18,5
2021-01-19,93
2022-01-19,25
2021-02-19,148
2022-02-19,23
2021-03-19,137
2022-03-19,6
2020-04-19,18
2021-04-19,179
2022-04-19,5
2020-05-19,64
2021-05-19,106
2022-05-19,5
2020-06-19,94
2021-06-19,40
2020-07-19,107
2021-07-19,27
2022-07-19,4
2020-08-19,88
2021-08-19,14
2020-09-19,64
2021-09-19,9
2020-10-19,21
2021-10-19,10
2020-11-19,12
2021-11-19,9
2020-12-19,25
2021-12-19,7
2021-01-02,30
2022-01-02,5
2021-02-02,107
2022-02-02,42
2021-03-02,143
2022-03-02,6
2021-04-02,137
2022-04-02,5
2020-05-02,44
2021-05-02,157
2022-05-02,3
2020-06-02,70
2021-06-02,74
2020-07-02,109
2021-07-02,27
2022-07-02,2
2020-08-02,101
2021-08-02,12
2022-08-02,7
2020-09-02,75
2021-09-02,15
2020-10-02,33
2021-10-02,8
2020-11-02,24
2021-11-02,9
2020-12-02,22
2021-12-02,6
2021-01-20,67
2022-01-20,26
2021-02-20,145
2022-02-20,19
2021-03-20,129
2022-03-20,6
2020-04-20,32
2021-04-20,154
2022-04-20,1
2020-05-20,63
2021-05-20,87
2022-05-20,1
2020-06-20,93
2021-06-20,56
2020-07-20,107
2021-07-20,20
2022-07-20,4
2020-08-20,103
2021-08-20,18
2020-09-20,48
2021-09-20,10
2020-10-20,23
2021-10-20,10
2020-11-20,11
2021-11-20,5
2020-12-20,21
2021-12-20,8
2021-01-21,91
2022-01-21,21
2021-02-21,134
2022-02-21,19
2021-03-21,120
2022-03-21,4
2020-04-21,33
2021-04-21,148
2022-04-21,2
2020-05-21,76
2021-05-21,87
2022-05-21,3
2020-06-21,76
2021-06-21,49
2022-06-21,1
2020-07-21,105
2021-07-21,18
2022-07-21,3
2020-08-21,100
2021-08-21,14
2020-09-21,33
2021-09-21,9
2020-10-21,17
2021-10-21,2
2020-11-21,10
2021-11-21,8
2020-12-21,19
2021-12-21,10
2021-01-22,88
2022-01-22,29
2021-02-22,118
2022-02-22,14
2021-03-22,117
2022-03-22,9
2020-04-22,32
2021-04-22,168
2022-04-22,1
2020-05-22,72
2021-05-22,85
2020-06-22,84
2021-06-22,49
2022-06-22,3
2020-07-22,115
2021-07-22,19
2022-07-22,3
2020-08-22,104
2021-08-22,8
2020-09-22,42
2021-09-22,9
2020-10-22,18
2021-10-22,5
2020-11-22,20
2021-11-22,5
2020-12-22,21
2021-12-22,10
2021-01-23,94
2022-01-23,28
2021-02-23,130
2022-02-23,16
2021-03-23,122
2022-03-23,11
2020-04-23,30
2021-04-23,158
2020-05-23,69
2021-05-23,84
2022-05-23,2
2020-06-23,96
2021-06-23,29
2022-06-23,1
2020-07-23,104
2021-07-23,20
2022-07-23,5
2020-08-23,100
2021-08-23,9
2020-09-23,41
2021-09-23,8
2020-10-23,21
2021-10-23,6
2020-11-23,23
2021-11-23,7
2020-12-23,23
2021-12-23,10
2021-01-24,79
2022-01-24,26
2021-02-24,142
2022-02-24,15
2021-03-24,144
2022-03-24,10
2020-04-24,36
2021-04-24,145
2022-04-24,1
2020-05-24,87
2021-05-24,97
2022-05-24,3
2020-06-24,86
2021-06-24,43
2020-07-24,125
2021-07-24,20
2022-07-24,6
2020-08-24,105
2021-08-24,11
2020-09-24,52
2021-09-24,4
2020-10-24,18
2021-10-24,10
2020-11-24,20
2021-11-24,13
2020-12-24,22
2021-12-24,3
2021-01-25,106
2022-01-25,28
2021-02-25,141
2022-02-25,17
2021-03-25,114
2022-03-25,4
2020-04-25,22
2021-04-25,160
2020-05-25,69
2021-05-25,78
2022-05-25,2
2020-06-25,75
2021-06-25,27
2022-06-25,2
2020-07-25,129
2021-07-25,24
2022-07-25,2
2020-08-25,115
2021-08-25,10
2020-09-25,39
2021-09-25,3
2020-10-25,14
2021-10-25,12
2020-11-25,14
2021-11-25,5
2020-12-25,21
2021-12-25,6
2021-01-26,99
2022-01-26,33
2021-02-26,115
2022-02-26,20
2021-03-26,148
2022-03-26,4
2020-04-26,25
2021-04-26,159
2022-04-26,3
2020-05-26,67
2021-05-26,83
2022-05-26,1
2020-06-26,87
2021-06-26,27
2020-07-26,115
2021-07-26,19
2022-07-26,5
2020-08-26,81
2021-08-26,11
2020-09-26,35
2021-09-26,4
2020-10-26,15
2021-10-26,6
2020-11-26,10
2021-11-26,1
2020-12-26,32
2021-12-26,8
2021-01-27,102
2022-01-27,35
2021-02-27,126
2022-02-27,15
2020-03-27,1
2021-03-27,144
2022-03-27,3
2020-04-27,37
2021-04-27,147
2022-04-27,2
2020-05-27,74
2021-05-27,75
2022-05-27,1
2020-06-27,88
2021-06-27,30
2022-06-27,2
2020-07-27,107
2021-07-27,17
2022-07-27,7
2020-08-27,108
2021-08-27,11
2020-09-27,29
2021-09-27,8
2020-10-27,24
2021-10-27,7
2020-11-27,13
2021-11-27,8
2020-12-27,23
2021-12-27,5
2021-01-28,121
2022-01-28,39
2021-02-28,131
2022-02-28,9
2021-03-28,139
2022-03-28,7
2020-04-28,27
2021-04-28,155
2022-04-28,4
2020-05-28,94
2021-05-28,94
2022-05-28,1
2020-06-28,98
2021-06-28,29
2020-07-28,130
2021-07-28,24
2022-07-28,7
2020-08-28,78
2021-08-28,8
2020-09-28,36
2021-09-28,7
2020-10-28,17
2021-10-28,7
2020-11-28,15
2021-11-28,9
2020-12-28,21
2021-12-28,7
2021-01-29,102
2022-01-29,39
2020-03-29,1
2021-03-29,118
2022-03-29,3
2020-04-29,25
2021-04-29,166
2022-04-29,3
2020-05-29,94
2021-05-29,86
2022-05-29,2
2020-06-29,83
2021-06-29,33
2022-06-29,1
2020-07-29,103
2021-07-29,16
2022-07-29,3
2020-08-29,84
2021-08-29,6
2020-09-29,19
2021-09-29,10
2020-10-29,23
2021-10-29,6
2020-11-29,12
2021-11-29,10
2020-12-29,21
2021-12-29,8
2021-01-03,33
2022-01-03,10
2021-02-03,125
2022-02-03,47
2021-03-03,127
2022-03-03,11
2020-04-03,9
2021-04-03,151
2022-04-03,2
2020-05-03,43
2021-05-03,160
2022-05-03,1
2020-06-03,81
2021-06-03,79
2022-06-03,2
2020-07-03,113
2021-07-03,31
2022-07-03,2
2020-08-03,136
2021-08-03,8
2022-08-03,1
2020-09-03,59
2021-09-03,6
2020-10-03,28
2021-10-03,5
2020-11-03,15
2021-11-03,7
2020-12-03,9
2021-12-03,8
2021-01-30,110
2022-01-30,31
2020-03-30,1
2021-03-30,139
2022-03-30,4
2020-04-30,37
2021-04-30,138
2022-04-30,2
2020-05-30,84
2021-05-30,90
2020-06-30,86
2021-06-30,27
2022-06-30,1
2020-07-30,121
2021-07-30,17
2022-07-30,7
2020-08-30,71
2021-08-30,7
2020-09-30,28
2021-09-30,2
2020-10-30,22
2021-10-30,6
2020-11-30,19
2021-11-30,1
2020-12-30,25
2021-12-30,5
2021-01-31,120
2022-01-31,28
2020-03-31,5
2021-03-31,144
2022-03-31,1
2020-05-31,84
2021-05-31,91
2022-05-31,5
2020-07-31,125
2021-07-31,19
2022-07-31,1
2020-08-31,76
2021-08-31,8
2020-10-31,8
2021-10-31,6
2020-12-31,31
2021-12-31,8
2021-01-04,47
2022-01-04,4
2021-02-04,112
2022-02-04,26
2021-03-04,143
2022-03-04,19
2020-04-04,6
2021-04-04,137
2022-04-04,4
2020-05-04,36
2021-05-04,139
2022-05-04,3
2020-06-04,93
2021-06-04,69
2022-06-04,1
2020-07-04,90
2021-07-04,25
2022-07-04,3
2020-08-04,121
2021-08-04,20
2020-09-04,67
2021-09-04,4
2020-10-04,26
2021-10-04,6
2020-11-04,22
2021-11-04,7
2020-12-04,17
2021-12-04,3
2021-01-05,30
2022-01-05,10
2021-02-05,128
2022-02-05,24
2021-03-05,138
2022-03-05,13
2020-04-05,5
2021-04-05,152
2022-04-05,4
2020-05-05,41
2021-05-05,129
2022-05-05,3
2020-06-05,75
2021-06-05,63
2022-06-05,3
2020-07-05,82
2021-07-05,34
2022-07-05,1
2020-08-05,113
2021-08-05,16
2020-09-05,68
2021-09-05,12
2020-10-05,27
2021-10-05,5
2020-11-05,16
2021-11-05,6
2020-12-05,21
2021-12-05,8
2021-01-06,53
2022-01-06,14
2021-02-06,120
2022-02-06,43
2021-03-06,131
2022-03-06,8
2020-04-06,5
2021-04-06,141
2022-04-06,5
2020-05-06,52
2021-05-06,132
2022-05-06,5
2020-06-06,81
2021-06-06,63
2020-07-06,109
2021-07-06,33
2022-07-06,2
2020-08-06,133
2021-08-06,11
2020-09-06,66
2021-09-06,11
2020-10-06,27
2021-10-06,5
2020-11-06,17
2021-11-06,7
2020-12-06,20
2021-12-06,7
2021-01-07,43
2022-01-07,11
2021-02-07,129
2022-02-07,30
2021-03-07,107
2022-03-07,13
2020-04-07,7
2021-04-07,132
2022-04-07,7
2020-05-07,53
2021-05-07,136
2022-05-07,2
2020-06-07,75
2021-06-07,48
2020-07-07,105
2021-07-07,23
2022-07-07,2
2020-08-07,135
2021-08-07,15
2020-09-07,62
2021-09-07,8
2020-10-07,30
2021-10-07,4
2020-11-07,17
2021-11-07,7
2020-12-07,17
2021-12-07,9
2021-01-08,51
2022-01-08,6
2021-02-08,147
2022-02-08,35
2021-03-08,119
2022-03-08,9
2020-04-08,7
2021-04-08,155
2022-04-08,1
2020-05-08,55
2021-05-08,121
2022-05-08,2
2020-06-08,83
2021-06-08,52
2022-06-08,1
2020-07-08,104
2021-07-08,33
2022-07-08,1
2020-08-08,117
2021-08-08,20
2020-09-08,56
2021-09-08,7
2020-10-08,19
2021-10-08,3
2020-11-08,23
2021-11-08,5
2020-12-08,11
2021-12-08,7
2021-01-09,48
2022-01-09,8
2021-02-09,151
2022-02-09,30
2021-03-09,129
2022-03-09,12
2020-04-09,7
2021-04-09,153
2022-04-09,1
2020-05-09,59
2021-05-09,128
2020-06-09,72
2021-06-09,52
2020-07-09,88
2021-07-09,31
2020-08-09,104
2021-08-09,15
2020-09-09,60
2021-09-09,7
2020-10-09,36
2021-10-09,7
2020-11-09,19
2021-11-09,11
2020-12-09,17
2021-12-09,5
